"filename", "language", "JavaScript", "JSON", "Markdown", "Handlebars", "CSS", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/admin/bootstrap-switch.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 8, 2, 11
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/admin/sb-admin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/css/bootstrap-grid.css", "CSS", 0, 0, 0, 0, 1473, 0, 0, 0, 7, 87, 1567
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/css/bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/css/bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 277, 0, 0, 0, 8, 57, 342
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/css/bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/css/bootstrap.css", "CSS", 0, 0, 0, 0, 7361, 0, 0, 0, 7, 1006, 8374
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/js/bootstrap.bundle.js", "JavaScript", 3916, 0, 0, 0, 0, 0, 0, 0, 1337, 1035, 6288
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/js/bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/js/bootstrap.js", "JavaScript", 2769, 0, 0, 0, 0, 0, 0, 0, 344, 738, 3851
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/bootstrap/js/bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/jquery-easing/jquery.easing.compatibility.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 9, 2, 60
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/jquery-easing/jquery.easing.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 0, 9, 7, 167
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/jquery-easing/jquery.easing.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/jquery/jquery.js", "JavaScript", 6624, 0, 0, 0, 0, 0, 0, 0, 1697, 1933, 10254
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/js/jquery/jquery.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/routes/admin/categories.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 61, 1, 69
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/routes/admin/comments.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 30, 1, 39
